name,address,zip_code,city,latitude,longitude,status,company_size,code_naf
ILLYA,9 QUAI ANDRE LASSAGNE,69001,LYON ,45.771165,4.837785,0,4,85.59A
AS CO FOR ASSOCIATION CONSEIL FORMATION,9 RUE BURDEAU,69001,LYON ,45.770343,4.832063,0,6,85.59A
NOVADONE,28 RUE BURDEAU,69001,LYON ,45.770292,4.832467,0,8,85.59A
ASSOCIATION CEFORA,13 RUE CHAVANNE,69001,LYON ,45.764803,4.832439,0,4,85.59A
HC FRANCE,4 PLACE AMEDEE BONNET,69002,LYON ,45.75854,4.836292,1,5,85.59A
JOBO,11 PLACE ANTONIN PONCET,69002,LYON ,45.756332,4.83553,0,6,85.59A
ASSOCIATION JOBO ACADEMY,11 PLACE ANTONIN PONCET,69002,LYON ,45.756332,4.83553,0,7,85.59A
COACH AND TRAIN,10 RUE BELLECORDIERE,69002,LYON ,45.758771,4.835833,0,8,85.59A
MEDICAL INTERFACE,2 PLACE ANTONIN JUTARD,69003,LYON ,45.756284,4.841102,0,4,85.59A
IMPRO2 FORMATION,6 RUE CHAPONNAY,69003,LYON ,45.757852,4.841969,0,5,85.59A
ASSOCIATION PICARDIE FORMATION,29 RUE DE BONNEL,69003,LYON ,45.761734,4.845838,0,6,85.59A
LEI-LASER ESTHETIQUE INSTITUT,166 RUE DE CREQUI,69003,LYON ,45.761337,4.847402,0,7,85.59A
PASSIONPROS,142 RUE DE CREQUI,69003,LYON ,45.763174,4.847053,0,8,85.59A
INSTIT FORMATION ANIMATEUR COLLECT RHONE,29 COURS DE LA LIBERTE,69003,LYON ,45.760909,4.842349,0,9,85.59A
A FLEUR DE PEAU,6 COURS DE LA LIBERTE,69003,LYON ,45.761985,4.841843,0,10,85.59A
GAMMA CONSULTING,12 RUE DE LA PART DIEU,69003,LYON ,45.759099,4.841934,0,6,85.59A
P.S.C. & D.,74 AVENUE MARECHAL DE SAXE,69003,LYON ,45.761957,4.845123,1,8,85.59A
ID LYON,17 RUE DUNOIR,69003,LYON ,45.761072,4.847038,0,9,85.59A
CAPAP CTRE APPLIC PSYCHO ACCOMP PROFESSI,26 COURS LAFAYETTE,69003,LYON ,45.763507,4.844376,0,10,85.59A
SERVICE DIOCESAIN DE FORMATION,6 AVENUE ADOLPHE MAX,69005,LYON ,45.76018,4.826922,0,8,85.59A
UNION FRANCAISE CENTRE VACANCES LOISIRS,2 PLACE BENOIT CREPU,69005,LYON ,45.758773,4.826606,1,9,85.59A
ELISABETH ROULLEAU,3 RUE DES ANTONINS,69005,LYON ,45.761553,4.826587,0,10,85.59A
CGN CONSEIL,10 MONTEE DU CHEMIN NEUF,69005,LYON ,45.759427,4.824176,0,4,85.59A
IMAGES SYSTEME DEVELOPPEMENT,1 RUE MARIUS GONIN,69005,LYON ,45.759346,4.826517,0,5,85.59A
INTERRIVES,9 MONTEE NICOLAS DE LANGE,69005,LYON ,45.763454,4.822284,1,6,85.59A
ASSOC EDUCATION PROFESSION EUROPE RH ALP,9 MONTEE NICOLAS DE LANGE,69005,LYON ,45.763454,4.822284,0,7,85.59A
EG-FORMATIONS,4 RUE OCTAVIO MEY,69005,LYON ,45.766211,4.828125,0,8,85.59A
SAS ECOCOM FORMATION,14 QUAI ROMAIN ROLLAND,69005,LYON ,45.763166,4.828994,0,9,85.59A
ECAM EXPERT,40 MONTEE SAINT BARTHELEMY,69005,LYON ,45.762452,4.824825,1,10,85.59A
ESPACE INSERTION FORMATION,44 RUE SAINT GEORGES,69005,LYON ,45.757889,4.825057,0,4,85.59A
DCO,12 QUAI GENERAL SARRAIL,69006,LYON ,45.765278,4.841715,0,6,85.59A
EDWIGE DE LA CROIX-VAUBOIS,13 COURS LAFAYETTE,69006,LYON ,45.763681,4.843411,0,7,85.59A
GENDRE FORMATION,54 AVENUE MARECHAL FOCH,69006,LYON ,45.769817,4.843465,0,8,85.59A
MA FORMATION AVENIR,12 PLACE MARECHAL LYAUTEY,69006,LYON ,45.768132,4.843093,0,4,85.59A
DORANCO ESPACE MULTIMEDIA,34 RUE MOLIERE,69006,LYON ,45.765246,4.842602,0,5,85.59A
ASSOCIATION FORMO'CLOCK,29 RUE MOLIERE,69006,LYON ,45.765995,4.842631,0,7,85.59A
ALL-COM,14 RUE PIERRE CORNEILLE,69006,LYON ,45.767181,4.843097,0,8,85.59A
CHANAILS 5,16 RUE VAUBAN,69006,LYON ,45.764823,4.843481,0,6,85.59A
RESEAU BIENVEILLANCE AU TRAVAIL,96 RUE VENDOME,69006,LYON ,45.767473,4.845181,1,10,85.59A
SDA CONSULTING,2 COURS GAMBETTA,69007,LYON ,45.755792,4.840954,1,12,85.59A
